Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123,30.95625,-73.46875,90,bottom
D2,D_Small,D_SOD-123,50.00625,-73.46875,90,bottom
D3,D_Small,D_SOD-123,69.05625,-69.5625,90,bottom
D4,D_Small,D_SOD-123,88.10625,-65.59375,90,bottom
D5,D_Small,D_SOD-123,107.15625,-69.5625,90,bottom
D6,D_Small,D_SOD-123,126.20625,-69.5,90,bottom
D7,D_Small,D_SOD-123,30.95625,-92.51875,90,bottom
D8,D_Small,D_SOD-123,50.00625,-92.51875,90,bottom
D9,D_Small,D_SOD-123,69.05625,-88.6125,90,bottom
D10,D_Small,D_SOD-123,88.10625,-84.64375,90,bottom
D11,D_Small,D_SOD-123,107.15625,-88.6125,90,bottom
D12,D_Small,D_SOD-123,126.20625,-88.6125,90,bottom
D13,D_Small,D_SOD-123,30.95625,-111.56875,90,bottom
D14,D_Small,D_SOD-123,50.00625,-111.56875,90,bottom
D15,D_Small,D_SOD-123,69.05625,-107.6625,90,bottom
D16,D_Small,D_SOD-123,88.10625,-103.69375,90,bottom
D17,D_Small,D_SOD-123,107.15625,-107.6625,90,bottom
D18,D_Small,D_SOD-123,126.20625,-107.6625,90,bottom
D19,D_Small,D_SOD-123,30.95625,-130.61875,90,bottom
D20,D_Small,D_SOD-123,50.00625,-130.61875,90,bottom
D21,D_Small,D_SOD-123,69.05625,-126.7125,90,bottom
D22,D_Small,D_SOD-123,88.10625,-122.74375,90,bottom
D23,D_Small,D_SOD-123,107.15625,-126.7125,90,bottom
D24,D_Small,D_SOD-123,126.20625,-126.7125,90,bottom
D25,D_Small,D_SOD-123,165.89375,-69.5625,90,bottom
D26,D_Small,D_SOD-123,184.94375,-69.5625,90,bottom
D27,D_Small,D_SOD-123,203.99375,-65.59375,90,bottom
D28,D_Small,D_SOD-123,223.04375,-69.5625,90,bottom
D29,D_Small,D_SOD-123,242.09375,-73.59375,90,bottom
D30,D_Small,D_SOD-123,261.14375,-73.75625,90,bottom
D31,D_Small,D_SOD-123,165.89375,-88.6125,90,bottom
D32,D_Small,D_SOD-123,184.94375,-88.6125,90,bottom
D33,D_Small,D_SOD-123,203.99375,-84.64375,90,bottom
D34,D_Small,D_SOD-123,223.04375,-88.6125,90,bottom
D35,D_Small,D_SOD-123,242.09375,-92.58125,90,bottom
D36,D_Small,D_SOD-123,261.14375,-92.80625,90,bottom
D37,D_Small,D_SOD-123,165.89375,-107.6,90,bottom
D38,D_Small,D_SOD-123,184.94375,-107.6625,90,bottom
D39,D_Small,D_SOD-123,203.99375,-103.69375,90,bottom
D40,D_Small,D_SOD-123,223.04375,-107.6625,90,bottom
D41,D_Small,D_SOD-123,242.09375,-111.63125,90,bottom
D42,D_Small,D_SOD-123,261.14375,-111.85625,90,bottom
D43,D_Small,D_SOD-123,165.89375,-126.65,90,bottom
D44,D_Small,D_SOD-123,184.94375,-126.7125,90,bottom
D45,D_Small,D_SOD-123,203.99375,-122.68125,90,bottom
D46,D_Small,D_SOD-123,223.04375,-126.7125,90,bottom
D47,D_Small,D_SOD-123,242.09375,-131.475,90,bottom
D48,D_Small,D_SOD-123,261.14375,-130.90625,90,bottom
J2,AudioJack4,CON_MJ-4PP-9,127.79375,-48.20625,-90,top
J3,AudioJack4,CON_MJ-4PP-9,157.95625,-48.20625,-90,top
